Symbol  ,Date  ,Expiry_Date,Option_Type,Strike_Price,Option_Close, Nifty_Close
BANKNIFTY,04-Aug-25,28-Aug-25,call,62500,6.75,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,61300,9.05,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,58000,76.15,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,51800,4580,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,56200,500.95,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,61900,7.45,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,57900,2306.2,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,64000,32.7,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,52300,4685,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,53000,3264.55,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,60400,1301.35,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,58000,321.9,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,61400,1009.3,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,59500,1615.65,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,61600,957.65,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,53600,3531.7,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,58500,219.35,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,54400,2902.5,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,56200,972.35,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,55900,1134.15,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,64500,13,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,56900,653,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,60200,1366.8,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,56400,881.6,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,57000,615.05,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,49000,9033.55,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,55300,3807.3,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,52000,4267.3,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,54200,3071.7,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,42000,15278.1,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,52800,5665.4,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,53200,4375,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,52700,5746.9,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,59600,1578.2,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,56600,782.85,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,51700,6587.05,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,61300,1035.95,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,58100,2210.3,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,57800,2355.4,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,46500,10000,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,51900,6415.55,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,51200,7022.75,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,54900,2577.9,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,63000,15.8,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,57500,445.15,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,56800,686.7,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,60100,1400.45,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,58900,1854.3,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,48000,7980,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,52900,5584.4,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,62200,818.5,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,60700,1207.65,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,60000,70.6,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,60800,1177.6,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,52200,6161.45,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,45000,12756.2,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,50600,7557.45,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,55100,3941.9,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,50900,7288.6,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,52400,5994.2,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,48500,7574.1,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,54600,4292.15,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,53800,3165,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,59200,1732,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,59900,1469.65,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,62400,772.75,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,61800,910.8,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,51100,5530,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,61700,935.15,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,58200,2163.35,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,50700,7467.5,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,51400,6847.35,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,54000,2456.85,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,62500,751.7,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,40500,16591,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,57200,529.5,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,58400,2071.65,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,56300,919.95,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,55600,1308.65,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,53400,3446.7,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,55400,1440,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,61900,886.95,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,60600,1238.25,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,59100,1772.1,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,58800,1896.4,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,62000,25,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,61100,1090.9,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,54500,2039.3,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,53300,4051,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,62300,794.2,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,51500,5180,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,51300,6934.85,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,53700,3530,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,57600,418.85,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,53900,3008.65,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,54800,2565.55,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,54100,3148.45,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,57100,577,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,56700,718,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,43500,13997.45,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,60300,1333.75,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,60900,1148.1,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,54300,3059.95,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,56100,1026.35,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,51000,5050,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,54700,2642.9,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,53100,3748.4,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,53500,2900,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,49500,6600,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,55500,1372.6,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,59300,1692.55,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,51800,6501.1,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,55200,3874.25,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,50800,7377.85,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,59000,154.15,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,55800,1190.2,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,55700,1233.85,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,52600,5828.85,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,56000,1078.3,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,59700,1541.4,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,56500,824.35,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,65000,48.05,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,61200,1063.15,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,59400,1653.8,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,50000,6052,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,50500,7647.65,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,61500,3179.55,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,58700,1939.15,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,55000,1687.55,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,62100,840.8,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,57300,504.5,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,58600,1982.65,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,63500,15.8,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,60500,1269.5,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,61000,37.6,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,57700,2405.1,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,59800,1505.2,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,52100,6245.7,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,57400,2558.45,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,52500,3737.85,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,58300,2117.15,55619.35
BANKNIFTY,04-Aug-25,30-Sep-25,call,51600,5040,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,54000,3675.15,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,56000,1426.8,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,53100,4318,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,52600,4697.3,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,59200,1120.7,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,53800,3813.05,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,58200,1459,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,55300,2848.35,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,53700,3883.05,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,53200,4244.05,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,52900,4467.9,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,59100,1151.55,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,55200,2907.55,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,51100,5919.6,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,51900,5252.95,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,57100,1912.05,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,58600,1315.6,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,58500,1350.4,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,55800,2563.7,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,51700,5416.6,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,51400,5665.95,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,50000,6882.55,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,60800,710,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,56200,2349.65,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,50500,6438.85,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,58900,1215.2,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,54800,3151.7,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,59900,922.25,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,63500,297.6,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,60200,848.7,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,58700,1281.45,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,53300,4172.7,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,57900,1573.9,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,53900,3743.75,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,54300,3473.5,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,53500,4027.65,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,62000,489.8,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,55700,2619.15,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,61500,573.45,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,59800,948.75,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,52000,5171.9,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,51000,6005.05,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,57700,1654.05,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,60400,801.15,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,60000,896.3,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,57500,1737.1,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,50600,6351.3,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,52200,5011.45,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,50900,6090.95,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,63000,352.85,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,54500,3342.6,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,55400,2789.9,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,56500,1180,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,58400,1385.95,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,51800,5334.55,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,54700,3214.6,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,55600,2675.3,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,55500,1702.15,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,58000,1534.9,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,57600,1695.25,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,60900,689,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,54900,3089.55,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,61000,668.55,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,56600,2147.5,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,55900,2509.05,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,52500,4775,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,52700,4620.25,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,52100,5091.4,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,59300,1090.45,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,60600,755.8,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,59400,1060.9,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,48000,8733.15,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,60300,824.65,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,57300,1823.1,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,51200,5834.55,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,53000,4392.65,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,56100,2402,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,59600,1003.6,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,51300,5750,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,52300,4932.05,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,60100,870.95,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,54600,3278.25,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,56800,2051.05,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,57400,1779.75,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,55000,2060,55619.35
BANKNIFTY,04-Aug-25,28-Oct-25,call,57800,1613.6,55619.35
